pattern,phase,rwp,pearson,a_scale,b_scale,c_scale,fwhm
TiO2,TiO2_141,38.63235113921709,0.9800828406695276,0.9844058439506919,0.9942655812565607,0.9927756404860953,0.519921898253559
TiO2,TiO2_136,57.69798650545545,0.7092578714922754,1.0123072934019433,1.0065668722222145,0.99981929792153,1.1999999956454064
TiO2,LiMn2O4_227,57.85820486860531,0.7076112868776792,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,Mn2O3_199,57.894067142861694,0.707955842073888,1.0065905364678376,1.0035266132748513,1.000449931235815,0.40728677243263733
TiO2,Mn2O3_61,57.92670209641317,0.7077755651308795,1.0066109710830622,1.003740598811966,1.00012774462116,0.3831250675179718
TiO2,Mn2O3_206,57.9488601945482,0.7076754969880643,1.0077190376967091,1.0058282269704915,1.000500678642353,0.31773321151959133
TiO2,MnO_225,58.03509211418808,0.7075915799756305,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,V2O5_12,58.08042378898332,0.708277515952241,1.0066807247978202,0.9894427190999916,1.0009328174227772,0.33194240788534873
TiO2,Li2MnO3_15,58.134468601148804,0.7075799273470446,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,MnO2_136,58.3020495024292,0.7076065824388971,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,Li2CO3_15,58.30839164295676,0.7075880247914619,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,MnCr2O4_227,58.339725906410834,0.7076061100453066,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,ZrO2_137,59.091914869254836,0.7075439372217309,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,ZrO2_225,59.09835887474204,0.7075698838964674,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,ZrO2_29,59.245910693146655,0.7075495620127736,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,In2O3_206,59.332373664002205,0.7075544772246661,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,ZrO2_57,59.37036576051994,0.707537690297815,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,V2O5_11,59.50668835296802,0.7075606998503005,1.019481884167264,1.019481884167264,1.019481884167264,1.1994902386187491
TiO2,ZrO2_14,59.952740778006465,0.7079946066539855,1.019481884167264,1.019481884167264,1.0095840477394944,0.3372492934459881
TiO2,V2O5_31,62.29193949360388,0.721805851374979,1.0194818838881892,1.0194818838881892,0.9885855742582904,1.0514508556058204
TiO2,V2O5_59,62.38517316484299,0.715921726845265,1.0199997831841485,1.0172969026260905,0.9877333645298861,0.9772541837703389
